EC,SA,taxa difference,comment
3.1.3.11,36,3, 36.0 <13>
3.1.3.16,0.021,3, phosphatase PfPP2B <90>) <90>
3.1.3.16,220,3, 220.0 <121>
3.1.3.16,0.13,3, phosphatase PfPP2A <90>) <90>
3.1.3.2,0.012,3, 0.012 <134>
3.1.3.4,33.3,3, purified recombinant His6-tagged PAP2L2 <88>) <88>
3.1.4.12,0.246,3," culture supernatant, in 50 mM glycine-NaOH buffer (pH"
3.1.4.12,98.4,3," 400fold purified enzyme, in 50 mM glycine-NaOH buffer"
3.1.8.1,113,3," pH 8.5, 25°C, substrate: diazoxon, purified"
3.1.8.1,1.94,3," pH 8.5, 25°C, substrate: paraoxon, purified"
3.1.8.1,1.21,3," wild type enzyme after 1018fold purification, using"
3.1.8.1,0.0012,3," wild type enzyme from crude extract, using paraoxon"
3.1.8.1,465,3, recombinant enzyme after 90fold purification <142>)
3.1.8.1,5.15,3, recombinant enzyme from crude cell extract <142>) <142>
3.1.8.1,40.9,3," pH 8.5, 25°C, substrate: chlorpyrifos oxon, purified"
3.2.1.11,0.12,3, 0.12 <8>
3.2.1.132,5.7,3, 5.7 <53>
3.2.1.14,0.472,3, isoenzyme II <46>) <46>
3.2.1.14,3.7,3, after Sephadex G200 purification step <83>) <83>
3.2.1.14,312,3, after Sephadex G-75 purification step <82>) <82>
3.2.1.14,126.7,3, swollen chitin <56>) <56>
3.2.1.14,62.4,3," purified enzyme, pH 6.5, 60°C <279>) <279>"
3.2.1.14,0.547,3, isoenzyme I <46>) <46>
3.2.1.14,0.641,3, isoenzyme III <46>) <46>
3.2.1.15,148,3, polygalacturonase 2 <36>) <36>
3.2.1.22,20,3, 20.0 <53>
3.2.1.28,50.4,3, 50.4 <14>
3.2.1.37,7.3,3, 7.3 <12>
3.2.1.4,19,3," 37°C, pH 5.0, release of D-glucose from"
3.2.1.40,2.44,3, purified enzyme <32>) <32>
3.2.1.49,1.7,3," crude enzyme, strain KMM 3528, pH 7.3, 20°C <52>) <52>"
3.2.1.49,5.1,3," crude enzyme, strain KMM 3523, pH 7.3, 20°C <52>) <52>"
3.2.1.6,0.4,3," lichenin as substrate <1>) <1,8>"
3.2.1.6,0.23,3, carboxymethylcellulose as substrate <1>) <1>
3.2.1.6,2.83,3, laminarin as substrate <1>) <1>
3.2.1.74,2.9,3," 37°C, pH 5.0, D-glucose production from cellulose,"
3.2.1.74,1.8,3," 37°C, pH 5.0, D-glucose production from"
3.2.1.8,1100,3," wild-type, at 30°C, with wheat arabinoxylan as"
3.3.1.1,0.161,3, 0.161 <64>
3.3.1.1,0.165,3," truncated recombinant enzyme, wild-type <28>) <28>"
3.3.1.1,0.163,3, complete recombinant enzyme <28>) <28>
3.3.2.9,0.0027,3," 30°C, pH not specified in the publication <96>) <96>"
3.4.21.1,65.4,3," pH 9.0, 25°C <126>) <126>"
3.4.22.15,6,3, after 48.4fold purification <92>) <92>
3.4.22.15,0.12,3, crude extract <92>) <92>
3.5.1.1,732.3,3, 732.3 <24>
3.5.1.41,0.047,3, intracellular enzyme activity after 2 days of growth
3.5.1.5,3120,3," pH 7.3, temperature not specified in the publication"
3.5.2.6,110,3," 110.0 <41,50>"
3.5.3.1,1249,3, 1249.0 <38>
3.5.5.4,143.7,3," substrate 3-cyano-L-alanine, pH 8.0, 37°C <2>)"
3.5.5.4,0.048,3," substrate phenyl-3-propionic acid, pH 8.0, 37°C <2>)"
3.6.1.11,15,3," substrate (phosphate)300, pH 6.5, 25°C <52>) <52>"
3.6.1.11,590,3," substrate (phosphate)3, pH 6.5, 25°C <52>) <52>"
3.6.1.11,170,3," substrate (phosphate)13-18, pH 6.5, 25°C <52>) <52>"
3.6.1.5,0.0366,3," venom, substrate ATP <82>) <82>"
3.6.1.5,0.0598,3," venom, substrate ADP <82>) <82>"
3.6.1.5,0.1872,3," venom, substrate AMP <82>) <82>"
3.6.1.5,1.806,3," venom, substrate 4-nitrophenyl thymidine 5-phosphate"
3.6.4.2,0.26,3," latent activity of 21S dynein 1, increasing activity"
4.1.1.31,42.9,3, 42.9 <51>
4.1.1.39,0.04,3, oxygenase <26>) <26>
4.1.1.39,0.17,3, carboxylase <26>) <26>
4.1.2.13,38.4,3," pH 7.5, 37°C <163>) <163>"
4.2.1.1,61,3," purified enzyme, pH 8.3, 4°C <307,309>) <307,309>"
4.2.1.11,30,3," 2-phospho-D-glycerate, pH 7.4, 20°C, Tris/HCl <65>)"
4.2.1.84,66.6,3," +/- 32.0, in nmol/min per g fresh weight (foliage)"
4.4.1.11,0.67,3, chicken feathers as solid substrate <64>) <64>
4.4.1.11,0.63,3, broad bean as solid substrate <64>) <64>
4.4.1.11,0.62,3, wheat bran as solid substrate <64>) <64>
4.4.1.11,0.003,3," in citrate phosphate buffer, pH 7.0, at 30°C <55>)"
4.4.1.11,0.235,3, rice bran as solid substrate <64>) <64>
4.4.1.11,0.173,3, coconut seed as solid substrate <64>) <64>
4.4.1.11,0.215,3, cotton seed as solid substrate <64>) <64>
4.4.1.11,0.536,3, lentil hulls as solid substrate <64>) <64>
4.4.1.11,0.723,3, suya bean as solid substrate <64>) <64>
4.4.1.11,0.328,3, wheat flour as solid substrate <64>) <64>
4.4.1.4,6.42,3, 6.42 <49>
4.4.1.5,0.023,3," recombinant protein, expressed in Trypanosoma brucei"
4.4.1.5,0.038,3," recombinant protein, expressed in Trypanosoma brucei"
4.4.1.5,0.042,3," whole cell lysate, pH 7.0, 25°C <105>) <105>"
4.4.1.9,0.0375,3, purified enzyme <34>) <34>
4.4.1.9,0.00216,3, 0.00216 <34>
5.1.1.1,209,3," L-Ala, 30°C <33>) <33>"
5.3.1.4,1,3, after Hi-trap Q ion exchange chromatography <23>) <23>
5.3.1.4,0.14,3," wild type, D-galactose as substrate <26>) <26>"
5.3.1.4,2.1,3, purified recombinant enzyme ion exchange chromatography
5.3.1.4,4.82,3," wild type, L-arabinose as substrate <26>) <26>"
5.3.1.4,0.163,3, after heat treatment <23>) <23>
5.3.1.4,0.122,3, after ammonium sulfate precipitation <23>) <23>
5.3.1.4,1.72,3, after Biogel hydroxyapatite ion exchange chromatography
5.3.1.8,890,3, purified recombinant enzyme <61>) <61>
6.3.1.2,1.5,3, wild type strain <96>) <96>
6.3.2.2,2.585,3, 2.585 <114>
6.3.2.3,0.0094,3, bacteroid isolate <42>) <42>
6.3.5.5,0.041,3, recombinant enzyme <61>) <61>
6.4.1.1,3.7,3, 3.7 <5>
1.1.1.1,0.68,5," wild-type, cosubstrate NADPH, pH 7.0, 55°C <259>)"
1.1.1.1,1.52,5," wild-type, cosubstrate NADH, pH 7.0, 55°C <259>)"
1.1.1.1,79.6,5," substrate butan-1-ol, pH 6.5, 60°C <272>) <272>"
1.1.1.1,0.01,5," wild type recombinant enzyme, from crude extract,"
1.10.3.2,24,5, recombinant enzyme expressed in Saccharomyces
1.10.3.2,38.4,5, recombinant enzyme expressed in Trichoderma reesei
1.15.1.1,574,5, 574.0 <143>
1.15.1.1,24400,5," purified recombinant SodB, 4°C, pH 4.0 <285>)"
2.5.1.18,0.24,5, using cumene hydroperoxide as a substrate <159>;
2.5.1.18,0.38,5," using 1,6-diiodohexane as substrate <185>) <185>"
2.5.1.18,0.87,5," using 1,4-diiodobutane as substrate <185>) <185>"
2.5.1.18,26.6,5," using 1,2-diiodoethane as substrate <185>) <185>"
2.5.1.18,0.27,5," using 1,4-diiodobutane as substrate <185>;"
3.1.3.8,32.76,5," wild-type enzyme, pH 5.5-6.0, 37°C <162>) <162>"
3.2.1.1,1068,5, 1068.0 <209>
3.2.1.21,67,5, 67.0 <37>
3.2.1.21,8500,5, 8500.0 <95>
3.2.1.21,0.000003,5, in salivary gland <240>) <240>
3.2.1.21,0.000005,5, in midgut <240>) <240>
3.2.1.55,96.7,5," purified recombinant His6-tagged enzyme, pH 6.0,"
4.3.1.24,1.2,5," wild-type, pH and temperature not specified in the"
1.1.1.138,350,6, purified native enzyme <31>) <31>
1.1.1.219,0.001,6, with
1.1.1.219,0.0013,6, with dihydromyricetin as substrate <19>;
1.1.1.219,0.00002,6, with dihydrokaempferol as substrate <19>) <19>
1.1.1.219,0.0006,6, with eriodictyol as substrate <19>)
1.1.1.38,0.58,6," below, leaf extract <24>) <24>"
1.1.1.38,0.46,6," below, extract from leaves under continuous light"
1.1.1.39,24,6, 24.0 <13>
1.1.3.15,20,6," commercial preparation, pH not specified in the"
1.1.3.15,41,6," commercial preparation, pH 7.0, temperature not"
1.1.3.15,72,6," commercial preparation, pH not specified in the"
1.10.3.1,24.1,6," solubilized, crude enzyme <56>) <56>"
1.10.3.1,788.3,6, partially purified enzyme <56>) <56>
1.11.1.11,19.2,6, substrate: tert-butyl hydroperoxide <13>) <13>
1.11.1.11,7.1,6, substrate: cumene hydroperoxide <13>) <13>
1.11.1.11,20.9,6, substrate: H2O2 <13>) <13>
1.11.1.11,46.7,6, partially purified enzyme <13>) <13>
1.11.1.7,5.08,6, 5.08 <75>
1.12.99.6,50,6, 467fold purified
1.12.99.6,173,6, 173.0 <23>
1.13.11.2,0.01973,6," pH 7.0, 35°C, wild-type enzyme <84>) <84>"
1.14.17.4,0.012,6, partially purified recombinant isozyme ACO3 <13>) <13>
1.14.18.1,27,6," L-dopa, detected in dormant saffron corms <143>) <143>"
1.14.18.1,600,6," p-cresol, detected in dormant saffron corms <143>)"
1.14.18.1,900,6," catechol, detected in dormant saffron corms <143>)"
1.14.18.1,530,6," purified enzyme, pH 6.5, 30°C <338>) <338>"
1.14.18.1,0.09,6, values shown are normalized to the specific activity
1.14.18.1,4.08,6, values shown are normalized to the specific activity
1.14.18.1,34,6," purified enzyme, at 30°C <223>) <223>"
1.14.18.1,4,6," enzyme from cell lysate, at 30°C <223>) <223>"
1.14.18.1,45,6," pyrogallol,"
1.18.6.1,2.4,6," substrate H+,"
1.18.6.1,1.8,6," wild-type enzyme,"
1.2.4.1,13,6," wild-type, substrate 2-ketopentanoate, 30°C, pH 6.5"
1.2.4.1,79,6," wild-type, substrate 2-ketobutanoate, 30°C, pH 6.5"
1.2.4.1,55,6, recombinant enzyme from Haloferax volcanii <102>) <102>
1.2.4.1,0.12,6, 0.12 <80>
1.2.4.1,91,6, recombinant enzyme from Escherichia coli <102>) <102>
1.2.4.1,120,6," wild-type, substrate pyruvate, 30°C, pH 6.5 <104>)"
1.2.7.4,163,6," cells grown syntrophically on acetate, pH 7.5, 55°C"
1.2.7.4,76.8,6," cells grown in pure culture on pyruvate, pH 7.5, 55°C"
1.4.1.14,16,6, 16.0 <9>
1.4.1.3,79.4,6," purified enzyme, pH 8.0, 70°C <92>) <92>"
1.4.1.4,74.5,6, oxidative deamination at pH 7.0 and 70°C <19>) <19>
1.4.3.2,10.2,6, 37°C <77>) <77>
1.4.7.1,1.5,6," after 191fold purification, at 70°C <38>) <38>"
1.4.7.1,0.0078,6," crude extract, at 70°C <38>) <38>"
1.5.1.2,70.1,6, 70.1 <23>
1.7.1.1,2,6, 2.0 <14>
1.7.1.1,1.9,6, 1.9 <14>
1.7.2.1,0.202,6, 0.202 <61>
1.7.2.5,0.101,6, with reduced menadione as electron donor <2>) <2>
1.97.1.1,11.4,6, activity of chlorate reductase of strain AW-1 grown on
1.97.1.1,26.6,6, activity of chlorate reductase of strain AW-1 grown on
2.1.1.45,0.00054,6, 0.00054 <19>
2.3.1.21,0.0565,6, mitochondrial fraction <104>) <104>
2.3.1.21,0.0367,6," mitochondrial fraction, 1 mM palmitoyl-CoA <104>)"
2.3.1.37,27.73,6, pH 7.5 <58>) <58>
2.3.1.48,0.0000077,6, enzyme form I <24>) <24>
2.3.1.48,0.0000118,6, enzyme forms II and III <24>) <24>
2.3.1.75,0.08,6," substrate hexadecanol, pH 7.0, 22°C <20>) <20>"
2.3.1.75,0.83,6," substrate dodecanol, pH 7.0, 22°C <20>) <20>"
2.3.2.2,8.9,6, purified enzyme <54>) <54>
2.4.1.16,0.01639,6, 0.01639 <36>
2.4.1.17,0.0037,6," recombinant isozyme UGT2B15, substrate"
2.4.1.17,0.0191,6, 0.0191
2.4.1.17,0.0622,6, 0.0622
2.4.1.19,127,6, beta-cyclization <94>) <94>
2.4.1.19,32.26,6, commercial preparation <79>) <79>
2.4.1.207,0.18,6," pH 5.5, 25°C, recombinant wild-type enzyme <31>) <31>"
2.4.1.25,21.8,6," wild-type, pH 6.0, 30°C <66>) <66>"
2.4.1.41,56,6," +/-6, UDP-Gal, pH7.4 <65>) <65>"
2.4.1.41,69,6," +/-12, UDP-GalNAc, pH7.4 <65>) <65>"
2.4.1.41,83,6," +/-13, IgA hinge-4GalNAc, pH7.4 <65>) <65>"
2.4.1.41,97,6," +/-14, MUC1, pH7.4 <65>) <65>"
2.4.1.41,81,6," +/-1, MUC2, pH7.4 <65>) <65>"
2.4.1.41,72,6," +/-21, MUC1-2GalNAc, pH7.4 <65>) <65>"
2.4.1.41,321,6," +/-18, IgA hinge, pH7.4 <65>) <65>"
2.4.1.41,302,6," +/-17, MUC2-6GalNAc, pH7.4 <65>) <65>"
2.4.1.5,10.83,6," 30°C, purified enzyme, at start of incubation, the"
2.4.1.5,20.83,6," 30°C, purified enzyme, after 108 h of incubation, the"
2.4.1.5,73.31,6," 30°C, purified enzyme, after 60 h of incubation, the"
2.5.1.54,1.3,6, partially purified enzyme <4>) <4>
2.7.1.40,202,6, 30°C <98>) <98>
2.7.1.90,8.9,6," reverse reaction, purified enzyme, pH 7.7, in presence"
2.7.1.90,43.8,6," forward reaction, purified enzyme, pH 7.7, in presence"
2.7.1.90,0.2,6, partially purified enzyme <17>) <17>
2.7.11.1,3,6, substrate: RRRDDDSDDD <260>) <260>
2.7.2.3,605,6, purified enzyme <69>) <69>
2.7.3.3,234,6, 234.0 <1>
2.7.4.6,1500,6,
2.7.4.6,1100,6," about, in absence of NaCl, purified wild-type enzyme"
2.7.7.13,3.8,6, 3.8 <27>
2.7.7.9,3.9,6, partially purified enzyme <6>) <6>
3.1.1.14,7.43,6," wild type isoform CLH2, in 100 mM sodium phosphate, pH"
3.1.1.32,0.22,6, 0.22 <46>
3.1.1.4,2.08,6," 25°C, pH not specified in the publication <302>)"
3.1.1.59,1050000,6," purified wild-type, at 30°C in 50 mM sodium"
3.1.1.59,500000,6," purified wild-type, at 30°C in 50 mM sodium"
3.1.1.73,5.3,6,
3.1.1.73,3.2,6, PAXX as substrate <8>) <8>
3.1.1.73,10.3,6, methyl coumarate as substrate <8>) <8>
3.1.1.73,12.7,6, o-nitrophenol acetate as substrate <8>) <8>
3.1.1.73,8.06,6, methyl caffeate as substrate <8>) <8>
3.1.1.73,14.4,6," feruloyl/p-coumaroyl esterase, methyl ferulate as"
3.1.1.73,9.6,6, methyl p-coumarate as
3.1.3.22,62.5,6, 62.5 <10>
3.1.3.26,16,6, 16.0 <114>
3.1.3.26,2344,6, 2344.0 <106>
3.1.4.4,0.21,6," initial rate of transphosphatidylation, acceptor"
3.1.4.4,1.88,6," initial rate of transphosphatidylation, acceptor"
3.1.4.4,7.82,6," initial rate of hydrolysis, acceptor alcohol: D-Ser"
3.1.4.4,6.3,6," initial rate of hydrolysis, acceptor alcohol: L-Ser"
3.2.1.17,37600,6," purified native enzyme, substrate Micrococcus"
3.2.1.18,0.36,6, 0.36 <69>
3.2.1.2,4464,6, variant Tainung No.57 <46>) <46>
3.2.1.2,4664,6, variant Chailai <46>) <46>
3.2.1.20,700,6, purified enzyme <125>) <125>
3.2.1.23,21.7,6," crude extract, at pH 6.0 and 80°C <206>) <206>"
3.2.1.23,212,6," after 9.8fold purification, at pH 6.0 and 80°C"
3.2.1.23,0.125,6, 0.125 <109>
3.2.1.25,208,6," 50°C, pH 2.4 <56>) <56>"
3.2.1.26,11.5,6," intracellular enzyme, crude protein cell extract <108>)"
3.2.1.26,4.7,6," extracellular enzyme, crude protein cell extract <108>)"
3.2.1.3,46.8,6, purified enzyme <97>) <97>
3.2.1.39,2690,6," substrate laminarihexaose, pH 6.0, 37°C <131>)"
3.2.1.39,3273,6," substrate laminaritetraose, pH 6.0, 37°C <131>)"
3.2.1.39,1486,6," substrate barley beta-glucan, pH 6.0, 37°C <131>)"
3.2.1.39,3757,6," substrate laminaritriose, pH 6.0, 37°C <131>) <131>"
3.2.1.39,3094,6," substrate laminaripentaose, pH 6.0, 37°C <131>)"
3.2.1.39,4800,6, 4800.0 <39>
3.2.1.52,37,6," purified recombinant enzyme, pH 6.0, 37°C, substrate"
3.2.1.52,19.1,6," crude recombinant enzyme, pH 6.0, 37°C, substrate"
3.2.1.54,3.5,6, 3.5 <32>
3.2.1.58,400,6, 400.0 <24>
3.2.1.68,0.95,6, pullulan as substrate <34>) <34>
3.2.1.68,6.58,6, beta limit dextrin as substrate <34>) <34>
3.2.1.68,8.95,6, gylcogen as substrate <34>) <34>
3.2.1.68,14.98,6, amylopectin as substrate <34>) <34>
3.2.1.73,12.6,6," after 55.53fold purification, at 50°C, pH 5 <50>) <50>"
3.2.1.73,0.197,6," concentrated crude extract, at 50°C, pH 5 <50>) <50>"
3.2.1.75,164.1,6," purified native enzyme, pH 4.0, 50°C <35>) <35>"
3.2.1.78,4.6,6, crude medium <43>) <43>
3.2.1.78,317,6," isozyme MAN II, guar gum <43>) <43>"
3.2.1.78,190,6," isozyme MAN I, mannan A <43>) <43>"
3.2.1.78,627,6," isozyme MAN II, locust bean gum <43>) <43>"
3.2.1.78,294,6," isozyme MAN I, guar gum <43>) <43>"
3.2.1.78,751,6," isozyme MAN II, low viscosity locust bean"
3.2.1.78,45.7,6," isozyme MAN I, after 9.9fold purification with DEAE"
3.2.1.78,562,6," isozyme MAN I, locust bean gum <43>) <43>"
3.2.1.78,471,6," isozyme MAN I, after 102.4fold purification with"
3.2.1.78,56.7,6," isozyme MAN II, after 12.3fold purification with DEAE"
3.2.1.78,225.4,6," isozyme MAN II, after 49fold purification with Phenyl"
3.2.1.78,663,6," isozyme MAN I, low viscosity locust bean galactomannan"
3.2.1.78,215,6, substrate
3.2.1.80,0.2,6," reaction mixture consists of 0.1 ml purified inulinase,"
3.4.11.18,1.4,6," substrate MVKQIESK , oxidized enzyme, pH 7.2, 25°C"
3.4.11.18,2.8,6," substrate MVNPTVFF, oxidized enzyme, pH 7.2, 25°C"
3.4.11.18,7.8,6," substrate MGNLKSVA, reduced enzyme, pH 7.2, 25°C <142>)"
3.4.11.18,15,6," substrate MGKVKVGV, oxidized enzyme, pH 7.2, 25°C"
3.4.11.18,3.4,6," substrate MGNLKSVA, oxidized enzyme, pH 7.2, 25°C"
3.4.11.18,4.7,6," substrate MVKQIESK , reduced enzyme, pH 7.2, 25°C"
3.4.11.18,18,6," substrate MGKVKVGV, reduced enzyme, pH 7.2, 25°C"
3.4.11.18,3.1,6," substrate MVNPTVFF, reduced enzyme, pH 7.2, 25°C <142>)"
3.4.11.2,0.0016,6," plasma enzyme, 20°C <80>) <80>"
3.4.11.2,0.0033,6," plasma enzyme, 37°C <80>) <80>"
3.4.11.5,36880,6, 36880.0 <25>
3.4.19.1,1.9,6," substrate: acetyl-Tyr-4-nitroanilide, pH 5.4, 85°C"
3.4.19.1,9.5,6," substrate: formyl-Met-Ala-Ala-Ala-Ala-Ala, pH 5.4, 85°C"
3.4.19.1,6.9,6," substrate: acetyl-Ala-4-nitroanilide, pH 5.4, 85°C"
3.4.19.1,478,6," substrate: acetyl-Ala-Ala, pH 5.4, 85°C <63>) <63>"
3.4.19.1,750,6," substrate: acetyl-Leu-4-nitroanilide, pH 5.4, 85°C,"
3.4.19.1,206,6," substrate: acetyl-Ala-Ala-Ala-Ala, pH 5.4, 85°C <63>)"
3.4.19.1,10.2,6," substrate: formyl-Ala-Ala-Ala-Ala-Ala-Ala, pH 5.4,"
3.4.19.1,15,6," substrate: acetyl-Tyr-4-nitroanilide, pH 5.4, 85°C,"
3.4.19.1,51,6," substrate: acetyl-Ala-4-nitroanilide, pH 5.4, 85°C,"
3.4.19.1,1830,6," substrate: acetyl-Ala-Ala-Ala-Ala, pH 5.4, 85°C,"
3.4.19.1,5120,6," substrate: acetyl-Met-Ala, pH 5.4, 85°C,"
3.4.19.1,105,6," substrate: acetyl-Leu-4-nitroanilide, pH 5.4, 85°C"
3.4.19.1,118,6," substrate: acetyl-Ala-Ala-Ala-Ala-Ala-Ala, pH 5.4,"
3.4.19.1,13.6,6," substrate: acetyl-Ala-Ala-Ala-Ala-Ala-Ala, pH 5.4,"
3.4.19.1,11.7,6," substrate: acetyl-Met-Ala-Ala-Ala-Ala-Ala, pH 5.4,"
3.4.19.1,77,6," substrate: acetyl-Met-Ala-Ala-Ala-Ala-Ala, pH 5.4,"
3.4.19.1,1513,6," substrate: formyl-Met-Ala, pH 5.4, 85°C,"
3.4.19.1,694,6," substrate: formyl-Met-Leu-Gly, pH 5.4, 85°C <63>) <63>"
3.4.19.1,97.2,6," substrate: formyl-Met-Ala, pH 5.4, 85°C <63>) <63>"
