EC	modelRxn	kcat_1/sec	KeggID		Commentary	Organism	LigandStructureID	literature	EC_KeggID	tax_dist
2.6.1.1		176	C00026	cpd:C00026   2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid	isozyme AAT5, pH 8.0, 25&degC	Arabidopsis thaliana	32	639876	2.6.1.1C00026	0
2.6.1.1		205	C00026	cpd:C00026   2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid	isozyme AAT1, pH 8.0, 25&degC	Arabidopsis thaliana	32	639876	2.6.1.1C00026	0
2.6.1.1		217	C00026	cpd:C00026   2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid	isozyme AAT2, pH 8.0, 25&degC	Arabidopsis thaliana	32	639876	2.6.1.1C00026	0
6.3.1.2		2.96	C00014 	cpd:C00014   Ammonia; NH3	isoenzyme GLN1,4	Arabidopsis thaliana	16	663076	6.3.1.2C00014 	0
6.3.1.2		7.1	C00014 	cpd:C00014   Ammonia; NH3	isoenzyme GLN1,3	Arabidopsis thaliana	16	663076	6.3.1.2C00014 	0
1.3.1.78		37.3	C00826  	cpd:C00826   L-Arogenate; L-Arogenic acid; Pretyrosine	pH 7.5, 25&degC, TyrAAT2	Arabidopsis thaliana	696	655440	1.3.1.78C00826  	0
1.3.1.78		84.2	C00826  	cpd:C00826   L-Arogenate; L-Arogenic acid; Pretyrosine	pH 7.5, 25&degC, TyrAAT1	Arabidopsis thaliana	696	655440	1.3.1.78C00826  	0
4.2.1.91		0.5	C00826  	cpd:C00826   L-Arogenate; L-Arogenic acid; Pretyrosine	37&degC	Arabidopsis thaliana	696	680833	4.2.1.91C00826  	0
4.2.1.91		1.1	C00826  	cpd:C00826   L-Arogenate; L-Arogenic acid; Pretyrosine	37&degC	Arabidopsis thaliana	696	680833	4.2.1.91C00826  	0
4.2.1.91		3.2	C00826  	cpd:C00826   L-Arogenate; L-Arogenic acid; Pretyrosine	37&degC	Arabidopsis thaliana	696	680833	4.2.1.91C00826  	0
4.2.1.91		4	C00826  	cpd:C00826   L-Arogenate; L-Arogenic acid; Pretyrosine	37&degC	Arabidopsis thaliana	696	680833	4.2.1.91C00826  	0
4.2.1.91		4.9	C00826  	cpd:C00826   L-Arogenate; L-Arogenic acid; Pretyrosine	37&degC	Arabidopsis thaliana	696	680833	4.2.1.91C00826  	0
4.2.1.91		6.1	C00826  	cpd:C00826   L-Arogenate; L-Arogenic acid; Pretyrosine	37&degC	Arabidopsis thaliana	696	680833	4.2.1.91C00826  	0
1.2.1.11		15.6	C03082	cpd:C03082   4-Phospho-L-aspartate; L-4-Aspartyl phosphate	37&degC	Arabidopsis thaliana	31742	390203	1.2.1.11C03082	0
4.2.1.1		0.32	C00011	cpd:C00011   CO2; Carbon dioxide		Arabidopsis thaliana	17	649466	4.2.1.1C00011	0
4.2.1.1		0.32	C00011	cpd:C00011   CO2; Carbon dioxide		Arabidopsis thaliana	17	649466	4.2.1.1C00011	0
1.3.5.2		8.2	C00337	cpd:C00337   (S)-Dihydroorotate; (S)-4,5-Dihydroorotate; L-Dihydroorotate; L-Dihydroorotic acid; Dihydro-L-orotic acid	pH 8.0, 30&degC, wild-type	Arabidopsis thaliana	709	655559	1.3.5.2C00337	0
3.6.1.1		11.9	C00013 	cpd:C00013   Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi	pH 7.5, 25&degC, isozyme PPa4	Arabidopsis thaliana	13	689658	3.6.1.1C00013 	0
3.6.1.1		12.1	C00013 	cpd:C00013   Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi	pH 7.5, 25&degC, isozyme PPa1	Arabidopsis thaliana	13	689658	3.6.1.1C00013 	0
2.6.1.79		200	C00025	cpd:C00025   L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate	pH 8.0, 30&degC	Arabidopsis thaliana	38	722267	2.6.1.79C00025	0
2.6.1.19		9.7	C00048 	cpd:C00048   Glyoxylate; Glyoxalate; Glyoxylic acid	in 50 mM TABS (pH 9), 1.5 mM dithiothreitol, 0.625 mM EDTA, 0.1 mM pyridoxal 5'-phosphate, 10% (v/v) glycerol, at 30&degC	Arabidopsis thaliana	95	704874	2.6.1.19C00048 	0
4.2.1.20		0.007	C00463 	cpd:C00463   Indole; 2,3-Benzopyrrole	recombinant isozyme AtTSBtype2, pH 8.2, 30&degC	Arabidopsis thaliana	392	716453	4.2.1.20C00463 	0
1.1.1.95		1.741	C00003	cpd:C00003   NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	isoform PGDH1, at pH 8.1 and 37&degC	Arabidopsis thaliana	4	739293	1.1.1.95C00003	0
1.1.1.95		97	C00003	cpd:C00003   NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	isoform PGDH3, at pH 7.2 and 37&degC	Arabidopsis thaliana	4	739293	1.1.1.95C00003	0
1.1.1.95		115.1	C00003	cpd:C00003   NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	isoform PGDH1, at pH 7.2 and 37&degC	Arabidopsis thaliana	4	739293	1.1.1.95C00003	0
1.1.1.95		119.7	C00003	cpd:C00003   NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	isoform PGDH2, at pH 7.2 and 37&degC	Arabidopsis thaliana	4	739293	1.1.1.95C00003	0
1.1.1.95		142.4	C00003	cpd:C00003   NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	isoform PGDH3, at pH 8.1 and 37&degC	Arabidopsis thaliana	4	739293	1.1.1.95C00003	0
1.1.1.95		147.4	C00003	cpd:C00003   NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	isoform PGDH2, at pH 8.1 and 37&degC	Arabidopsis thaliana	4	739293	1.1.1.95C00003	0
1.7.1.1		210	C00004	cpd:C00004   NADH; DPNH; Reduced nicotinamide adenine dinucleotide	isoform PGDH2, at pH 8.1 and 37&degC	Arabidopsis thaliana	3	674455	1.7.1.1C00004	0
1.1.1.25		399	C00006	cpd:C00006   NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	pH 7.5, 22&degC, wild-type DELTA88DHQ-SDH enzyme variant	Arabidopsis thaliana	6	667700	1.1.1.25C00006	0
1.1.1.25		399	C00006	cpd:C00006   NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	wild-type, 22&degC	Arabidopsis thaliana	6	686243	1.1.1.25C00006	0
1.1.1.40		38.7	C00006	cpd:C00006   NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	pH 7.5, NADP-ME1	Arabidopsis thaliana	6	670594	1.1.1.40C00006	0
1.1.1.40		151.3	C00006	cpd:C00006   NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	pH 7.5, NADP-ME4	Arabidopsis thaliana	6	670594	1.1.1.40C00006	0
1.1.1.40		268.1	C00006	cpd:C00006   NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	pH 7.5, NADP-ME3	Arabidopsis thaliana	6	670594	1.1.1.40C00006	0
1.1.1.40		324.1	C00006	cpd:C00006   NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	pH 7.5, NADP-ME2	Arabidopsis thaliana	6	670594	1.1.1.40C00006	0
1.1.1.40		4670	C00006	cpd:C00006   NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+	pH 7.5, NADP-ME2	Arabidopsis thaliana	6	670594	1.1.1.40C00006	0
1.7.1.1		33	C00244	cpd:C00244   Nitrate; Nitric acid	22&degC, pH not specified in the publication	Arabidopsis thaliana	263	711261	1.7.1.1C00244	0
4.2.3.1		0.0333	C01102	cpd:C01102   O-Phospho-L-homoserine	without S-adenosylmethionine	Arabidopsis thaliana	2593	137557	4.2.3.1C01102	0
4.2.3.1		0.4	C01102	cpd:C01102   O-Phospho-L-homoserine	without S-adenosylmethionine	Arabidopsis thaliana	2593	137561	4.2.3.1C01102	0
4.2.3.1		0.86	C01102	cpd:C01102   O-Phospho-L-homoserine	in presence of S-adenosylmethionine	Arabidopsis thaliana	2593	137557	4.2.3.1C01102	0
4.2.3.1		3.5	C01102	cpd:C01102   O-Phospho-L-homoserine	at 0.06 mM S-adenosylmethionine	Arabidopsis thaliana	2593	137561	4.2.3.1C01102	0
2.6.1.1		279	C00036	cpd:C00036   Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate	isozyme AAT5, pH 8.0, 25&degC	Arabidopsis thaliana	53	639876	2.6.1.1C00036	0
2.6.1.1		319	C00036	cpd:C00036   Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate	isozyme AAT1, pH 8.0, 25&degC	Arabidopsis thaliana	53	639876	2.6.1.1C00036	0
2.6.1.1		574	C00036	cpd:C00036   Oxaloacetate; Oxalacetic acid; Oxaloacetic acid; 2-Oxobutanedioic acid; 2-Oxosuccinic acid; keto-Oxaloacetate	isozyme AAT2, pH 8.0, 25&degC	Arabidopsis thaliana	53	639876	2.6.1.1C00036	0
1.3.1.78		3.4	C00254	cpd:C00254   Prephenate; Prephenic acid	isozyme AAT2, pH 8.0, 25&degC	Arabidopsis thaliana	300	655440	1.3.1.78C00254	0
4.2.1.91		0.03	C00254	cpd:C00254   Prephenate; Prephenic acid	37&degC	Arabidopsis thaliana	300	680833	4.2.1.91C00254	0
4.2.1.91		0.04	C00254	cpd:C00254   Prephenate; Prephenic acid	37&degC	Arabidopsis thaliana	300	680833	4.2.1.91C00254	0
4.2.1.91		0.16	C00254	cpd:C00254   Prephenate; Prephenic acid	37&degC	Arabidopsis thaliana	300	680833	4.2.1.91C00254	0
1.1.1.40		16.5	C00022	cpd:C00022   Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	pH 7.0, 30&degC, isozyme NADP-ME1	Arabidopsis thaliana	29	689565	1.1.1.40C00022	0
1.1.1.40		75	C00022	cpd:C00022   Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	pH 7.0, 30&degC, isozyme NADP-ME2	Arabidopsis thaliana	29	689565	1.1.1.40C00022	0
1.1.1.40		75	C00022	cpd:C00022   Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	pH 7.0	Arabidopsis thaliana	29	697911	1.1.1.40C00022	0
1.1.1.40		237	C00022	cpd:C00022   Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	pH 7.0, 30&degC, isozyme NADP-ME3	Arabidopsis thaliana	29	689565	1.1.1.40C00022	0
1.1.1.40		237	C00022	cpd:C00022   Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	pH 7.0	Arabidopsis thaliana	29	697911	1.1.1.40C00022	0
1.1.1.40		284.1	C00022	cpd:C00022   Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	pH 7.0, 30&degC, isozyme NADP-ME4	Arabidopsis thaliana	29	689565	1.1.1.40C00022	0
2.6.1.19		10.6	C00022	cpd:C00022   Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid	in 50 mM TABS (pH 9), 1.5 mM dithiothreitol, 0.625 mM EDTA, 0.1 mM pyridoxal 5'-phosphate, 10% (v/v) glycerol, at 30&degC	Arabidopsis thaliana	29	704874	2.6.1.19C00022	0
4.1.1.39		4.1	C01182 	cpd:C01182   D-Ribulose 1,5-bisphosphate	in 100 mM Bicine-NaOH pH 8.0, 20 mM MgCl2, at 25&degC	Arabidopsis thaliana	407	728456	4.1.1.39C01182 	0
2.6.1.45		6.4	C00065	cpd:C00065   L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine	at 10 mM glyoxylate	Arabidopsis thaliana	89	684122	2.6.1.45C00065	0
4.2.1.20		0.0155	C00065	cpd:C00065   L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine	recombinant isozyme AtTSBtype2, pH 8.2, 30&degC	Arabidopsis thaliana	89	716453	4.2.1.20C00065	0
1.1.1.25		428	C00493	cpd:C00493   Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid	pH 7.5, 22&degC, wild-type DELTA88DHQ-SDH enzyme variant	Arabidopsis thaliana	299	667700	1.1.1.25C00493	0
1.1.1.25		428	C00493	cpd:C00493   Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid	wild-type, 22&degC	Arabidopsis thaliana	299	686243	1.1.1.25C00493	0
2.3.3.13		2.3	C00141	cpd:C00141   3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid	pH 8.0, isoform IPMS2	Arabidopsis thaliana	611	676632	2.3.3.13C00141	0
2.3.3.13		2.4	C00141	cpd:C00141   3-Methyl-2-oxobutanoic acid; 3-Methyl-2-oxobutyric acid; 3-Methyl-2-oxobutanoate; 2-Oxo-3-methylbutanoate; 2-Oxoisovalerate; 2-Oxoisopentanoate; alpha-Ketovaline; 2-Ketovaline; 2-Keto-3-methylbutyric acid	pH 8.0, isoform IPMS1	Arabidopsis thaliana	611	676632	2.3.3.13C00141	0
1.1.1.95		1.741	C00197	cpd:C00197   3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate	isoform PGDH1, at pH 8.1 and 37&Acirc&degC	Arabidopsis thaliana	181	739293	1.1.1.95C00197	0
1.1.1.95		97	C00197	cpd:C00197   3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate	isoform PGDH3, at pH 7.2 and 37&Acirc&degC	Arabidopsis thaliana	181	739293	1.1.1.95C00197	0
1.1.1.95		115.1	C00197	cpd:C00197   3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate	isoform PGDH1, at pH 7.2 and 37&Acirc&degC	Arabidopsis thaliana	181	739293	1.1.1.95C00197	0
1.1.1.95		119.7	C00197	cpd:C00197   3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate	isoform PGDH2, at pH 7.2 and 37&Acirc&degC	Arabidopsis thaliana	181	739293	1.1.1.95C00197	0
1.1.1.95		142.4	C00197	cpd:C00197   3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate	isoform PGDH3, at pH 8.1 and 37&Acirc&degC	Arabidopsis thaliana	181	739293	1.1.1.95C00197	0
1.1.1.95		147.4	C00197	cpd:C00197   3-Phospho-D-glycerate; D-Glycerate 3-phosphate; 3-Phospho-(R)-glycerate; 3-Phosphoglycerate	isoform PGDH2, at pH 8.1 and 37&Acirc&degC	Arabidopsis thaliana	181	739293	1.1.1.95C00197	0
2.7.2.8		115	C00624	cpd:C00624   N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid	in the presence of 1 mM L-arginine, in 50 mM imidazole, pH 7.5	Arabidopsis thaliana	450	705148	2.7.2.8C00624	0
2.7.2.8		126.1	C00624	cpd:C00624   N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid	in the absence of protein PII, in 50 mM imidazole, pH 7.5	Arabidopsis thaliana	450	705148	2.7.2.8C00624	0
2.7.2.8		187.5	C00624	cpd:C00624   N-Acetyl-L-glutamate; N-Acetyl-L-glutamic acid	in the presence of protein PII, in 50 mM imidazole, pH 7.5	Arabidopsis thaliana	450	705148	2.7.2.8C00624	0
2.6.1.19		6.9	C00334 	cpd:C00334   4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA	with glyoxylate as cosubstrate, in 50 mM TABS (pH 9), 1.5 mM dithiothreitol, 0.625 mM EDTA, 0.1 mM pyridoxal 5'-phosphate, 10% (v/v) glycerol, at 30&Acirc&degC	Arabidopsis thaliana	492	704874	2.6.1.19C00334 	0
2.6.1.19		10.6	C00334 	cpd:C00334   4-Aminobutanoate; 4-Aminobutanoic acid; 4-Aminobutyrate; 4-Aminobutyric acid; gamma-Aminobutyric acid; GABA	with pyruvate as cosubstrate, in 50 mM TABS (pH 9), 1.5 mM dithiothreitol, 0.625 mM EDTA, 0.1 mM pyridoxal 5'-phosphate, 10% (v/v) glycerol, at 30&Acirc&degC	Arabidopsis thaliana	492	704874	2.6.1.19C00334 	0
2.5.1.47		2170	C00283	cpd:C00283   Hydrogen sulfide; Hydrogen-sulfide; H2S; Sulfide	wild-type, pH 7.0, 25&degC	Arabidopsis thaliana	273	662427	2.5.1.47C00283	0
1.2.1.3		17.2	C00003	cpd:C00003   NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+	wild type enzyme, with hexanal as cosubstrate, at pH 8.0 and 25&Acirc&degC	Arabidopsis thaliana	4	740105	1.2.1.3C00003	0
1.5.1.2		3049	C00004	cpd:C00004   NADH; DPNH; Reduced nicotinamide adenine dinucleotide	pH 7.8, 35&Acirc&degC	Arabidopsis thaliana	3	741069	1.5.1.2C00004	0
1.5.1.2		694	C00005	cpd:C00005   NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate	pH 7.8, 35&Acirc&degC	Arabidopsis thaliana	5	741069	1.5.1.2C00005	0
2.5.1.47		1780	C00979	cpd:C00979   O-Acetyl-L-serine; O3-Acetyl-L-serine	wild-type, pH 7.0, 25&degC	Arabidopsis thaliana	549	662427	2.5.1.47C00979	0
2.6.1.19		10.8	C00232 	cpd:C00232   Succinate semialdehyde; Succinic semialdehyde; 4-Oxobutanoate	with L-alanine as cosubstrate, in 50 mM TABS (pH 9), 1.5 mM dithiothreitol, 0.625 mM EDTA, 0.1 mM pyridoxal 5'-phosphate, 10% (v/v) glycerol, at 30&Acirc&degC	Arabidopsis thaliana	440	704874	2.6.1.19C00232 	0
2.7.4.14		7.64	C00105	cpd:C00105   UMP; Uridylic acid; Uridine monophosphate; Uridine 5'-monophosphate; 5'Uridylic acid	pH 6.5	Arabidopsis thaliana	127	645153	2.7.4.14C00105	0
2.7.7.4		36	C00224	cpd:C00224   Adenylyl sulfate; Adenosine 5'-phosphosulfate; APS; 5'-Adenylyl sulfate	pH 8.0, 30&Acirc&degC, synthesis of ATP	Brassica capitata	354	643280	2.7.7.4C00224	3
2.7.7.4		3.13	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	pH 8.0, 30&Acirc&degC, synthesis of adenosine 5'-phosphosulfate	Brassica capitata	7	643280	2.7.7.4C00002	3
2.7.7.4		36	C00002	cpd:C00002   ATP; Adenosine 5'-triphosphate	pH 8.0, 30&Acirc&degC, molybdolysis	Brassica capitata	7	643280	2.7.7.4C00002	3
2.7.7.4		36	C00013 	cpd:C00013   Diphosphate; Diphosphoric acid; Pyrophosphate; Pyrophosphoric acid; PPi	pH 8.0, 30&Acirc&degC, synthesis of ATP	Brassica capitata	13	643280	2.7.7.4C00013 	3
2.7.7.4		3.13	C00059	cpd:C00059   Sulfate; Sulfuric acid	pH 8.0, 30&Acirc&degC, synthesis of adenosine 5'-phosphosulfate	Brassica capitata	148	643280	2.7.7.4C00059	3
1.1.1.23		1.1	C00860	cpd:C00860   L-Histidinol	pH 8.0, 30&Acirc&degC, synthesis of adenosine 5'-phosphosulfate	Brassica oleracea	1822	286324	1.1.1.23C00860	3
1.1.1.23		35	C00860	cpd:C00860   L-Histidinol	recombinant enzyme without transit peptide	Brassica oleracea	1822	286326	1.1.1.23C00860	3
1.8.7.1		9.1	C00094 	cpd:C00094   Sulfite; Sulfurous acid	leaf enzyme	Brassica rapa	86	437704	1.8.7.1C00094 	3
2.1.3.3		18	C00077	cpd:C00077   L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate	leaf enzyme	Alnus glutinosa	172	485913	2.1.3.3C00077	6
3.5.1.5	Urease_m	5913	C00086	cpd:C00086   Urea; Carbamide	pH 7.0, 38&Acirc&degC	Canavalia ensiformis	110	712785	3.5.1.5C00086	6
1.7.7.1		89	C00088 	cpd:C00088   Nitrite	pH 7.0, 38&Acirc&degC	Cucurbita pepo	155	208103	1.7.7.1C00088 	6
1.8.4.9		8.4	C00224	cpd:C00224   Adenylyl sulfate; Adenosine 5'-phosphosulfate; APS; 5'-Adenylyl sulfate	30&degC, pH 8.5, cosubstrate: dithiothreitol	Glycine max	354	689431	1.8.4.9C00224	6
1.8.4.9		11.3	C00224	cpd:C00224   Adenylyl sulfate; Adenosine 5'-phosphosulfate; APS; 5'-Adenylyl sulfate	30&degC, pH 8.5, cosubstrate: glutathione	Glycine max	354	689431	1.8.4.9C00224	6
1.1.1.3		2.8	C00441	cpd:C00441   L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde	cosubstrate NADPH, pH 8.0, 25&Acirc&degC	Glycine max	472	712490	1.1.1.3C00441	6
1.1.1.3		9.68	C00441	cpd:C00441   L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde	cosubstrate NADH, pH 8.0, 25&Acirc&degC	Glycine max	472	712490	1.1.1.3C00441	6
1.1.1.3		11.58	C00441	cpd:C00441   L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde	cosubstrate NADPH, pH 8.0, 25&Acirc&degC	Glycine max	472	712490	1.1.1.3C00441	6
1.1.1.3		12.98	C00441	cpd:C00441   L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde	cosubstrate NADPH, pH 8.0, 25&Acirc&degC	Glycine max	472	712490	1.1.1.3C00441	6
1.1.1.3		19.3	C00441	cpd:C00441   L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde	cosubstrate NADH, pH 8.0, 25&Acirc&degC	Glycine max	472	712490	1.1.1.3C00441	6
1.1.1.3		22.58	C00441	cpd:C00441   L-Aspartate 4-semialdehyde; Aspartate beta-semialdehyde; L-Aspartic 4-semialdehyde	cosubstrate NADH, pH 8.0, 25&Acirc&degC	Glycine max	472	712490	1.1.1.3C00441	6
1.5.1.3		0.95	C00415	cpd:C00415   Dihydrofolate; Dihydrofolic acid; 7,8-Dihydrofolate; 7,8-Dihydrofolic acid; 7,8-Dihydropteroylglutamate	cosubstrate NADH, pH 8.0, 25&Acirc&degC	Glycine max	173	392245	1.5.1.3C00415	6
1.2.1.2		2.9	C00058	cpd:C00058   Formate; Methanoic acid; Formic acid	wild type enzyme, in 0.1 M sodium phosphate buffer, pH 7.0, at 30&Acirc&degC	Glycine max	114	726427	1.2.1.2C00058	6
1.8.4.9		8.4	C00051	cpd:C00051   Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione	30&degC, pH 8.5	Glycine max	41	689431	1.8.4.9C00051	6
1.1.1.3		0.042	C00263	cpd:C00263   L-Homoserine; 2-Amino-4-hydroxybutyric acid	cosubstrate NADP+, pH 8.0, 25&Acirc&degC	Glycine max	294	712490	1.1.1.3C00263	6
