locus_id	mean_6h	mean_8h	mean_12h	mean_18h	std_dev_6h	std_dev_8h	std_dev_12h	std_dev_18h
AT1G02080	1.0942987773	1.0915420257	1.1250374053	1.0830331027	0.0421024528	0.019508737	0.0272048665	0.0917540714
AT1G02090	1.3557194563	1.1809671467	1.2114065483	1.0837558873	0.092397621	0.0729898678	0.1696801722	0.1370287736
AT1G02100	1.154492314	0.9976034683	1.040214489	1.0696678267	0.185414253	0.0607202101	0.096586014	0.0327282827
AT1G02120	1.1960541713	1.1470477093	1.3836888093	1.5209189907	0.1207698238	0.0647206375	0.17903569	0.2008638451
AT1G02130	0.99085352	1.0307879397	1.0285960317	0.9436321647	0.0543778142	0.0283492503	0.0493612947	0.0667842166
AT1G02140	1.2032234053	1.0984757807	1.0199594723	0.9038786207	0.0495387849	0.0307421508	0.0463093358	0.0563316641
AT1G02145	1.1800121687	1.343599451	1.4579386127	1.921938891	0.0969781055	0.2185269932	0.5489543109	0.2741424085
AT1G02150	1.2777104273	1.3983549277	1.2622300433	1.1157852103	0.0642970296	0.0677557135	0.0307167901	0.031826975
AT1G02280	0.968313052	1.0136089553	0.9843004627	0.982936575	0.037682476	0.0146305955	0.0952414826	0.0363329632
AT1G02500	1.169365795	1.0378587297	1.0325566883	1.0113507303	0.0713159292	0.0841806418	0.0386472315	0.0881012685
AT1G02560	0.950406806	0.9743948247	1.0015802777	1.0428345017	0.0325026797	0.0358752676	0.0394268484	0.0269031386
AT1G02690	0.8678463713	1.192483254	1.378427696	0.8807739147	0.1538028596	0.4258566699	0.2545586265	0.1680774783
AT1G02780	0.9010029	0.860490861	0.860548045	0.844087688	0.0152822591	0.0197481518	0.0640982286	0.0074853879
AT1G02840	0.9641199617	0.856463167	1.136747209	0.5607270257	0.0504738936	0.1265612287	0.0579108525	0.031796316
AT1G02890	0.7613215513	0.8267372307	0.8823895663	0.9556891397	0.2516368584	0.1946951764	0.2209417502	0.0536083347
AT1G02910	1.474282314	1.311760358	1.214895011	1.2030748687	0.0797030311	0.1405551679	0.05419753	0.0779188406
AT1G02930	1.0530718513	1.0005442643	1.2208116997	1.7805069563	0.0513483119	0.064791562	0.0557436969	0.3254261675
AT1G03000	1.138955907	1.1056181033	1.2279271977	1.143307554	0.0275699618	0.1333912379	0.1151189568	0.1066016004
AT1G03060	1.1388003477	1.3933114613	1.4842959207	1.3893121633	0.1082906272	0.1060709047	0.0949903189	0.0894549093
AT1G03090	1.313045023	1.1785697043	1.262733621	1.2906158017	0.0215231745	0.1492002175	0.0941556312	0.1865696562
AT1G03160	1.239872474	1.213941319	1.267950639	1.287517728	0.0521557562	0.0407955265	0.0238140078	0.0656135782
AT1G03220	2.0163283577	1.8118036177	1.286160708	1.0456962203	0.0917069871	0.0730598075	0.1240540103	0.0189174147
AT1G03230	1.926940709	1.462542976	1.2077104153	0.9672739177	0.042076489	0.1176906271	0.0709703975	0.0559605205
AT1G03280	5.26788885	11.068809454	12.0217244343	3.6496808073	3.4554393916	4.1746441819	2.6633085511	1.3829370745
AT1G03310	1.234878884	1.1834015517	1.2954996797	1.358655461	0.0309021607	0.0482280613	0.0541283202	0.1216292957
AT1G03400	0.6915048453	0.570852779	0.6330219137	1.0840140497	0.0490975059	0.1546421731	0.0449875682	0.0939062885
AT1G03475	0.9662824187	0.958694714	0.9361549217	0.9042550697	0.01281343	0.0418041577	0.114523194	0.0262674634
AT1G03600	1.1780109733	1.1458749473	1.229611756	1.1177091473	0.0628504492	0.0682648099	0.0315521238	0.1011413338
AT1G03630	1.356174737	1.3355386553	1.3155304127	1.1910956323	0.068751436	0.0450249427	0.0803841819	0.0224385593
AT1G03680	1.0010496593	0.981777173	1.0250810043	1.0308693727	0.0475495074	0.0044792608	0.0150228426	0.0703320662
AT1G03860	0.8584724633	0.9028969733	0.8910919103	0.9855528903	0.044173116	0.0063795515	0.0812253973	0.0201878642
AT1G03870	1.375503169	1.3119065587	1.1997192153	1.0348660223	0.0273472449	0.0536662792	0.0246094069	0.0602904189
AT1G03900	0.9910181897	0.9572396653	0.8714773447	0.9343903393	0.0234338744	0.0340527641	0.0939632746	0.0288118351
AT1G04080	1.461907273	1.244792867	1.2588631267	1.158574076	0.0332884766	0.056833812	0.0305480441	0.074677177
AT1G04170	1.1343010203	1.1067020337	1.014060545	0.9232570607	0.0500185663	0.0363402592	0.0012457371	0.025736048
AT1G04190	0.879413594	0.8931484517	0.9522591807	0.9738502543	0.0354115778	0.0540605948	0.0796971628	0.0604720377
AT1G04200	1.095799073	1.0838880487	1.0624288427	1.1507859283	0.0518005626	0.0676362111	0.1890754629	0.0995340658
AT1G04350	1.0921811537	1.1457630927	1.0991964127	1.1093876087	0.0612506509	0.0575302086	0.0316532982	0.1218648558
AT1G04400	0.9756528017	1.281113467	2.443455806	2.3208080883	0.0877121837	0.0354658035	0.7029551134	0.4740441452
AT1G04410	1.046318614	0.9383016467	0.943935635	1.0115018147	0.0469659539	0.0688339957	0.0446955155	0.0627463744
AT1G04420	1.031774218	0.981951356	1.0320021443	1.0983627483	0.0198687565	0.054543247	0.0551263306	0.0751556659
AT1G04430	0.935389572	0.9407394937	1.2062793047	1.188495505	0.008957802	0.0421840077	0.0262711996	0.1120346476
AT1G04480	1.0082795563	0.9445489493	0.992735661	0.9345948213	0.0514080229	0.0221928255	0.0800459055	0.0374914864
AT1G04510	1.1229184303	0.8909593567	1.1714322437	1.052334748	0.1718329132	0.0622338005	0.0261904819	0.0389384336
AT1G04530	0.928361457	0.7829026583	0.7379899747	0.7431190463	0.0707650827	0.0479332721	0.0445534101	0.0621430473
AT1G04590	0.864937495	0.7692295277	0.8133480453	0.721912832	0.1859603891	0.1353126697	0.0728686255	0.0505538455
AT1G04620	1.039532344	1.3149153503	1.5522027603	1.4430830833	0.1532116433	0.0198937692	0.0693227601	0.1044155162
AT1G04640	0.9434232437	0.935224874	0.9558873253	0.9671796377	0.016020753	0.0198707675	0.0416134624	0.0188021651
AT1G04690	1.1263339053	1.162532242	1.164691292	1.152801046	0.0287754285	0.0154888251	0.0538752708	0.0512777054
AT1G04710	0.8415949123	0.7612873517	0.866047755	1.124130147	0.0421871954	0.0200475762	0.0474777691	0.1304981105
AT1G04810	1.045270305	1.009593088	1.0964535043	1.1129974447	0.0645028405	0.0486620911	0.0496470423	0.047567573
AT1G04820	1.515343928	1.1873303933	1.2230538033	0.9316764167	0.2394733113	0.0467152478	0.0637245758	0.066407964
AT1G04850	1.3462793383	1.3244315827	1.4232232073	1.2180259447	0.1396232698	0.0541562499	0.1059564584	0.0532856971
AT1G04860	1.3735352827	1.4085044717	1.4622018273	1.1677477323	0.0720570816	0.0246280598	0.0189146824	0.1022720081
AT1G04950	1.2530875777	1.1288874133	1.1866574623	1.040218602	0.1651460608	0.0799894182	0.2583381757	0.039552847
AT1G04980	1.289658957	2.623979422	4.5797107737	3.1873526683	0.1081347751	0.6587513778	0.1264284324	0.529507793
AT1G05010	1.128265311	1.2372657773	1.262166257	1.277148554	0.0101711012	0.0216643629	0.1463698242	0.0422218276
AT1G05140	1.2622406107	1.3420626987	1.2501075127	1.1034920513	0.0330993266	0.0351768658	0.0921500884	0.0543009577
AT1G05150	1.674860561	1.362346441	1.3578112017	1.2211599753	0.0889855011	0.1243948448	0.0533954235	0.11852128
AT1G05180	0.8164252507	0.7889279007	0.8004082467	1.0582862747	0.1039276726	0.1608677612	0.0412099115	0.1323182173
AT1G05190	1.1505609937	1.1221495083	1.1154251393	1.0150305467	0.0462331041	0.0202531813	0.06974998	0.0440280814
AT1G05320	1.2688084947	1.0725684053	1.1631983553	1.2573948983	0.0139722966	0.0350271403	0.0398609146	0.0653583937
AT1G05500	1.075065806	0.9193705057	0.7865613783	0.7797152637	0.1350875827	0.1056270911	0.0408143933	0.1133094996
AT1G05520	1.019679995	0.9998668257	1.107377762	1.018741488	0.0729386509	0.0073831381	0.0348985248	0.0674681526
AT1G05560	1.1028933353	1.0654036867	1.468646234	1.116819614	0.1874425493	0.3016019718	0.0234228379	0.061222439
AT1G05620	0.9092436103	1.001978876	1.0766281037	1.013137993	0.0627605945	0.0572315984	0.1187978074	0.0230467572
AT1G05850	1.2973005423	1.131524448	1.1485949437	1.1550991063	0.1246903242	0.0844770192	0.0129722025	0.1342913067
AT1G05910	1.4024384307	1.2381810383	1.2926649937	0.897246269	0.0362648879	0.0794384685	0.0918653893	0.0086315593
AT1G05940	0.877694534	1.337472079	1.283707877	1.196755989	0.1351912457	0.2459151594	0.2867137113	0.1520271203
AT1G06000	1.1952099497	1.1204537163	1.1133898527	1.2979458527	0.0623790694	0.079416193	0.0314381205	0.0935165778
AT1G06130	1.1622166533	1.1682204103	1.149606727	1.1740174223	0.0635408462	0.0317419748	0.0760238322	0.0204698481
AT1G06190	1.471102814	1.2234250887	1.5517797017	1.0377520427	0.1424893424	0.1561655222	0.1346930484	0.1024851487
AT1G06220	1.3575169757	1.196927072	1.1786300107	1.0489811577	0.0177608677	0.0518044363	0.0183080836	0.0476318213
AT1G06230	0.9996571983	1.0428903673	1.0547674853	0.8006715787	0.193253809	0.0621945048	0.1186654079	0.0269869437
AT1G06290	0.7926906443	0.843858726	1.1818458583	1.3468388753	0.0169003092	0.0308500612	0.0684778468	0.169562115
AT1G06400	0.98544918	0.9685637387	0.9689552393	0.9641377143	0.0277639586	0.0234669954	0.0568266176	0.0233732453
AT1G06410	1.4823382947	1.252846373	1.2585745357	1.263164823	0.027243144	0.0515504643	0.0909728613	0.0784546305
AT1G06430	0.9929836697	0.9503466167	1.0682163953	1.000884759	0.0592571637	0.0162171513	0.019573396	0.0235013472
AT1G06460	0.943346334	1.226306619	1.8848573287	2.1071893797	0.0438650297	0.0484864142	0.1007789738	0.2594560233
AT1G06510	1.2029670947	1.3961086727	1.37439769	1.234028198	0.0421023421	0.0303831238	0.141259749	0.0051330126
AT1G06530	0.8828956467	0.9659030183	2.479241981	1.2523394693	0.0169318144	0.2248070348	0.2209008709	0.0522939603
AT1G06550	1.120390508	1.0231844103	0.988728535	1.254752907	0.0358433047	0.1323602033	0.0202125833	0.1225432491
AT1G06650	1.1087051483	1.0944629813	1.0799118107	1.125575708	0.0455732345	0.0846941631	0.035956521	0.1058412579
AT1G06670	1.322255995	1.448344747	1.1483384197	0.9099583857	0.1079661765	0.0618873716	0.0587188486	0.0801428565
AT1G06680	1.0066690547	1.0075008653	1.026256999	1.0230426173	0.0258275828	0.019861851	0.0323749062	0.0271272815
AT1G06690	1.456019981	1.2445114527	1.0851405343	1.034726766	0.1032059854	0.0416658513	0.0773140754	0.0736128827
AT1G06700	1.31184874	1.1400978847	1.0215315117	0.962468594	0.037893981	0.1004317877	0.0622578293	0.1157473332
AT1G06820	0.6617815903	0.739544625	0.760505807	0.6388516023	0.0469534525	0.0845493054	0.0070643482	0.026377302
AT1G06890	0.9762265887	0.9912763443	1.2091010917	1.1401351267	0.1739078614	0.0569301677	0.1822055995	0.0215994614
AT1G06900	1.059012341	0.981650031	1.1470191713	0.9844563777	0.0537647341	0.1245429069	0.0866188987	0.0105806469
AT1G06950	1.0774896353	1.0269144403	1.1359381963	1.107585971	0.0520504674	0.045665205	0.0516370715	0.0615268028
AT1G07040	0.9996012807	0.9655968943	1.1768134267	1.2899320373	0.0248797871	0.0524676893	0.0431689289	0.0193432216
AT1G07080	1.1603899377	1.1714029653	1.1578239487	1.1020718657	0.0664891311	0.0633030951	0.1127064375	0.0094514151
AT1G07110	1.3949715	1.119120764	1.0362810997	1.0697622907	0.0086314669	0.0703024069	0.0433566716	0.0335384353
AT1G07140	1.028964825	1.1198568783	1.2613625787	1.1573703453	0.0915764404	0.030465763	0.1666279309	0.0648618155
AT1G07250	2.0055180147	2.491949832	2.7006659517	1.9096246887	0.5673653424	0.0343664597	0.1013880945	0.0929223159
AT1G07320	1.17679195	1.0963788037	1.029997104	0.9544955183	0.0277520399	0.0176457471	0.0600497104	0.0187471929
AT1G07370	1.1732125207	1.0804818883	0.9075670343	0.9704507793	0.1010648432	0.0125064907	0.2099881954	0.0605434391
AT1G07440	0.6081355693	0.728446159	0.9526025213	1.2232701213	0.0138117654	0.0190730345	0.1090622666	0.0619186259
AT1G07510	1.226597741	1.2874603463	1.562036877	1.536950569	0.0825428734	0.1033215641	0.3444572062	0.1332423412
AT1G07660	1.2293915357	1.1058562313	1.101835181	0.988588352	0.0468348591	0.0289669635	0.0608362179	0.0213392627
AT1G07670	1.001791239	1.0159837463	1.1857672397	1.1392594117	0.0207364707	0.0522875025	0.0288863641	0.131887907
AT1G07705	1.5299501683	1.536651165	1.153401291	1.245339146	0.1499625059	0.0819100502	0.0934753915	0.2320899491
AT1G07750	0.936295195	0.7871745987	0.768859881	0.8729306727	0.0651966074	0.076658322	0.0506436089	0.1019760402
AT1G07810	1.367684783	1.1502492977	1.2341882337	1.2108563613	0.0799669042	0.0615116307	0.0655221898	0.1619216648
AT1G07890	0.907555326	0.924712679	1.1575703743	1.353430321	0.0237948491	0.0144596699	0.0640724697	0.1150058273
AT1G07910	1.1270930713	1.0904215467	1.120207042	1.100232148	0.0327375305	0.0154294677	0.0239527069	0.0623952601
AT1G07920	1.2297048573	1.196537701	1.0888172373	0.988737593	0.0794762964	0.0619519705	0.0126338419	0.0223648241
AT1G08110	1.132294575	1.058068111	1.2244063097	1.184604545	0.0335184411	0.0311818658	0.0893896233	0.0436669024
AT1G08130	1.284106308	1.0997088403	0.9554660283	0.880254563	0.0850771926	0.053152293	0.0702599333	0.0242743198
AT1G08160	0.8762954143	0.8273459203	0.836897272	0.834472583	0.0659720107	0.0382544943	0.0281743147	0.064341991
AT1G08190	1.3569121693	1.1912405437	1.1897784717	1.0801373193	0.0726862356	0.038759333	0.032887895	0.0452253059
AT1G08200	1.134557786	1.1467508863	1.153218535	1.209822833	0.0488353809	0.047886326	0.0315823624	0.0766311038
AT1G08360	0.9975415887	0.974706098	0.9922654477	0.9968929263	0.0226622809	0.0457017597	0.040892538	0.0590463187
AT1G08370	1.314609943	1.183784397	1.1305507843	1.1403117667	0.0987509459	0.1026686518	0.0527770453	0.0837571971
AT1G08380	1.0507786473	1.198359515	1.103669243	1.153730913	0.0277282567	0.0449108455	0.0928598484	0.0466561983
AT1G08420	1.013935451	1.022526353	1.0064825707	0.979920086	0.0431023632	0.0313019571	0.0731421304	0.0173645796
AT1G08450	0.6803298033	0.5301784523	0.7692393227	0.841767638	0.1531121221	0.0462106825	0.1042630651	0.2288833858
AT1G08470	1.026715244	0.9892952787	1.0563564767	1.044191798	0.0163427035	0.0883580542	0.0758521844	0.0220109547
AT1G08480	1.0578092467	1.080825359	1.210445675	1.2455618353	0.0179210319	0.019683806	0.0593327516	0.0546006684
AT1G08490	1.048436982	1.0138935497	0.9978411627	1.029084161	0.0317121554	0.0462827363	0.0537139796	0.0722697824
AT1G08520	1.2581104153	1.1195476333	1.1571156493	1.056503399	0.0687971747	0.0766347269	0.0244525106	0.0653778466
AT1G08550	1.0941660703	1.0360647127	1.0181389993	1.0611389477	0.0594345362	0.0613773044	0.0418916633	0.0754771909
AT1G08640	0.9621624403	0.9625179707	1.0087837687	1.0658455077	0.0166227321	0.0077358	0.0339327369	0.0518087112
AT1G08800	0.94798396	0.962474074	1.06194904	1.1555458273	0.09712025	0.0484020128	0.0515867794	0.0929029273
AT1G08820	1.114805011	0.9751879283	1.0437188433	1.1164848163	0.0598180775	0.1011007002	0.0483369749	0.0674712135
AT1G08830	0.9158297777	0.8929327987	1.2761235767	1.2879770027	0.0180775096	0.0175744628	0.0348631469	0.0158644973
AT1G08930	0.932061303	1.1648900647	1.0981417067	1.3800156713	0.1288210426	0.1173080073	0.22975322	0.0911593671
AT1G08980	1.279976237	1.1374751963	1.1223578207	1.1057167107	0.0074982203	0.0531755768	0.0579235943	0.0391477887
AT1G09010	1.466018442	1.3814833127	1.357523338	1.3626948817	0.0611914015	0.0313295939	0.0912535672	0.1113603065
AT1G09020	1.3153718317	1.405923032	1.3353202663	1.087597247	0.0496351476	0.0702232644	0.061900515	0.0078526488
AT1G09130	1.050541708	0.983435288	1.0207785213	0.986622948	0.013841677	0.0291731598	0.0568849768	0.0378253313
AT1G09160	0.9792108783	1.0309672297	0.8938317083	0.8128135433	0.063759387	0.0325884105	0.0512932954	0.0928546392
AT1G09210	1.4834247723	1.3459842757	1.4692406507	1.232452115	0.1062565501	0.0336276641	0.1696558404	0.0137438335
AT1G09240	1.1561106133	1.427860418	1.543439482	1.716819002	0.1003227489	0.2136778157	0.0791477543	0.1125077465
AT1G09270	1.2724641393	1.383271014	1.4063585527	1.02632069	0.1189179714	0.0749886724	0.0970607156	0.0578694752
AT1G09310	1.0722460407	1.062136254	1.0299784087	0.9631290303	0.0459201485	0.054993153	0.0617491758	0.0478963458
AT1G09330	0.8454249227	0.8599552387	0.8890345883	0.83151046	0.0598950184	0.0757618902	0.045088461	0.0603106984
AT1G09340	1.127759157	1.05400602	0.984189387	1.0349920677	0.025571644	0.0781810849	0.036030669	0.0739471636
AT1G09430	1.97128524	2.1123292103	2.1301054707	1.822050857	0.3327036218	0.1196935152	0.1317063538	0.0415068323
AT1G09490	0.9752584497	0.9769911553	1.1216014847	1.0745824797	0.0760433049	0.0450067022	0.0249595053	0.1019515233
AT1G09590	0.9923589293	0.9707388283	0.903723729	0.8693282663	0.0120213588	0.0147066045	0.0281050197	0.0219820166
AT1G09620	1.277953636	1.1736046717	1.2109058127	1.1192951987	0.043486311	0.0260596179	0.015229367	0.0908984366
AT1G09630	1.006716929	1.002473164	0.948574685	1.0106168493	0.0705594092	0.1224859104	0.0567326879	0.0328954059
AT1G09640	1.1978354513	1.1417703507	1.0100323797	1.0896331743	0.0351430166	0.0876706429	0.0335360993	0.0998016861
AT1G09750	1.5262677793	1.241228021	1.1780249287	1.0134037887	0.0444936536	0.0628755395	0.058244177	0.0192681739
AT1G09760	1.0705067347	0.965989307	0.933195643	0.882460716	0.0291821749	0.0297389151	0.063439361	0.0259520274
AT1G09770	1.4460216477	1.1873164337	1.1516203063	1.060684583	0.024258114	0.0699567635	0.0697222191	0.0566752374
AT1G09780	0.814058049	0.7938610503	0.986930676	0.9083124493	0.0139211446	0.0118259575	0.056421162	0.0920959076
AT1G09795	0.9868550693	0.964040705	0.9552233657	0.989771015	0.0516005967	0.062717406	0.0120807507	0.0462125739
AT1G09830	1.1148551643	1.310529742	1.3250389913	0.99002847	0.1729901311	0.1087157665	0.0754036327	0.0497533105
AT1G09850	0.779771136	0.7143940307	0.829956448	0.960985197	0.0941684044	0.0551739734	0.0813128465	0.0612403658
AT1G09870	1.3431292107	1.4979040763	1.3093554883	1.0914350427	0.2064207045	0.0594681304	0.0498683344	0.0413848569
AT1G10170	0.914855156	0.779576882	0.6204097607	0.7658942667	0.1324696989	0.0250601533	0.1030534852	0.090746365
AT1G10270	1.1211964753	0.9722514503	1.0077421653	1.0059509197	0.0572013584	0.0683017071	0.0336998959	0.078230896
AT1G10290	1.1492749113	1.0993058	1.2064226043	1.1811446553	0.0157946981	0.0483724917	0.0463435149	0.1075010183
AT1G10370	1.705709131	1.430350917	1.1743173987	0.912300828	0.0134908359	0.0179904443	0.060833551	0.082829803
AT1G10390	1.3380111663	1.1381969853	1.220698303	1.1278086977	0.0373645229	0.05552016	0.0780179431	0.1078734798
AT1G10490	1.112574003	0.946609415	0.9905327433	0.8097029667	0.054544331	0.0803861799	0.075142621	0.0362337251
AT1G10510	1.333046151	1.256627565	1.4376982133	1.1903075117	0.123264317	0.0085507249	0.0271273238	0.0258434393
AT1G10580	1.3080504383	1.1862105417	1.364857141	1.1766467527	0.1724584909	0.1206673307	0.1829452859	0.0576620796
AT1G10670	1.2215317943	1.208358042	1.218777575	1.0883602507	0.0780465977	0.0912494937	0.0255234096	0.0524246729
AT1G10760	0.995721934	1.1581794103	1.3294737953	1.1433184483	0.024794204	0.0252372539	0.0719170561	0.0227699395
AT1G10830	1.091608837	1.1635746037	1.0329484303	1.1096554297	0.0674287776	0.0113768141	0.0595894272	0.1195651383
AT1G10840	1.1226082523	0.9705565923	0.9755900693	0.98244971	0.028015413	0.0605757117	0.0544576529	0.0695714636
AT1G10940	1.0203186747	0.9560203487	0.8534237053	0.790107129	0.0268760261	0.0752091577	0.0143187926	0.1149944022
AT1G10950	0.959753021	1.013495695	1.2102002813	1.0646541533	0.0274696212	0.0328348984	0.115600563	0.0086844047
AT1G10960	0.8426674057	0.9279421993	1.136649699	1.1958955473	0.0563890675	0.0473379418	0.0441853467	0.0748069164
AT1G11090	0.902339061	0.854920999	0.998862077	1.0013483147	0.2225223662	0.1077979521	0.1416723361	0.1197669532
AT1G11260	1.909028479	1.652258627	1.4115967867	1.1119352117	0.1533072965	0.0164777451	0.0956185713	0.1795273888
AT1G11360	1.125185554	1.03181681	1.0708107867	0.9841169757	0.0287441349	0.0303373414	0.0757889607	0.0392115836
AT1G11430	1.2018669953	1.17208395	1.059484365	0.976004703	0.0085254514	0.0159340913	0.020111967	0.0423087679
AT1G11480	0.943948803	0.9303851787	1.2142639023	1.0258868967	0.0598063233	0.0414512896	0.0628363569	0.1456401159
AT1G11545	1.210041781	0.820865451	0.5630024313	0.6791477893	0.1468039268	0.1048554905	0.150461919	0.06311344
AT1G11580	0.5459044833	0.5684526803	0.758806669	0.8251549727	0.0109544166	0.0167653309	0.066534986	0.0633579974
AT1G11650	1.2292636547	1.1150787837	1.1546176127	1.0950346887	0.0307531375	0.1004914622	0.06642716	0.020253085
AT1G11660	1.074869027	1.0405686307	1.061158082	1.0760900577	0.0255456819	0.0335165361	0.045184258	0.0460117164
AT1G11680	1.5274240397	1.6668648357	1.4568322807	1.2668281547	0.1459429543	0.1738939518	0.1236767147	0.0578722666
AT1G11720	1.5261798813	1.3432323493	1.2578798193	1.210028559	0.1140082271	0.0705062876	0.0768271781	0.0144125129
AT1G11750	1.016966389	1.005944039	1.0470564613	1.043969247	0.0392851927	0.003489258	0.0629036786	0.0143558824
AT1G11820	1.4506790527	1.4667024717	1.4318036523	1.3265478877	0.1010202979	0.1033130856	0.0714146149	0.0769515296
AT1G11840	0.9885550437	0.9885567337	1.1018065307	1.1562096407	0.0301067652	0.0062362073	0.0606884145	0.0431779797
AT1G11860	0.998378896	0.940730637	0.9771095957	1.0359790217	0.0151642933	0.076427563	0.0311626063	0.0501643498
AT1G11870	1.2405846283	1.2755305447	1.33268429	1.0402080973	0.1583715372	0.0650184251	0.2059198407	0.0874171731
AT1G11890	0.9086292623	0.8648557247	0.837084255	0.828396156	0.0555311656	0.0218235127	0.0306308204	0.0396587044
AT1G11910	0.9877191647	0.97859823	1.0181567487	1.1427594297	0.035147444	0.0218849455	0.0796074106	0.0308566509
AT1G11930	1.201159632	1.075416093	1.091146293	1.056121351	0.0967659527	0.0404886105	0.0195425555	0.0639926396
AT1G12000	1.0103093897	0.9786425973	0.985089542	1.0723884207	0.0462146755	0.0099474177	0.0860034145	0.0890636302
AT1G12050	1.163356134	1.0794451987	1.115617858	1.1919631627	0.0249552459	0.0856664369	0.0358183531	0.0981594227
AT1G12080	1.2770034733	0.9690902927	0.8859651573	0.8706470583	0.0651063708	0.1282282136	0.1495705991	0.1197478713
AT1G12110	1.338837326	1.6342113023	1.180360782	1.9397576167	0.3255339918	0.122869202	0.3864033064	0.1131200074
AT1G12140	1.041335556	1.3419159837	1.5329906673	1.6869465527	0.1369586531	0.1539579171	0.0299714813	0.134845039
AT1G12230	1.393216009	1.1824704713	1.10693972	1.2137420537	0.0325051541	0.0834047829	0.0353388839	0.1092189233
AT1G12240	0.9506196723	0.908137044	1.0760899437	0.9823691157	0.0358638202	0.0372388173	0.1193225068	0.2059144826
AT1G12250	1.0722538977	1.0115571853	1.0318441667	1.010470635	0.0134730897	0.0533148635	0.0493770822	0.0586659599
AT1G12270	1.130796999	1.0714038567	1.29179403	1.171787724	0.0397063415	0.0154654039	0.0728720168	0.1721351072
AT1G12310	1.168320251	1.183266614	1.2465154947	1.120255298	0.0701246492	0.0426090741	0.0685770248	0.0768514128
AT1G12350	1.040160924	1.0022965777	0.9565866067	1.0189349923	0.1282215651	0.0194589413	0.1712436197	0.0904327186
AT1G12360	1.0170090897	1.0579083437	1.2925047783	1.2374557113	0.0236290414	0.0151806515	0.0828938913	0.0844068867
AT1G12410	1.0281111993	0.9990004527	1.0362974267	1.0508676863	0.0170727029	0.0113237576	0.043574866	0.0356647875
AT1G12470	1.1712491307	1.0915511667	1.1243822583	1.124940183	0.0723716579	0.0371289813	0.009333268	0.090515455
AT1G12520	0.5491766713	0.5630175973	0.7962429183	0.945679816	0.0798074619	0.0169222832	0.0280824544	0.0491064743
AT1G12770	2.439455542	2.16951162	1.6574490623	1.263831099	0.3404164272	0.184769993	0.220135423	0.2020148656
AT1G12780	1.1787755557	1.0831871357	1.085684791	1.123895945	0.053505271	0.0539762466	0.029414894	0.1252747264
AT1G12800	1.381956806	1.2199114433	1.1961155613	1.1605104933	0.063796026	0.0488708619	0.05694088	0.0730211092
AT1G12840	1.1172031827	1.051567218	1.0728287703	1.1081249573	0.0347710803	0.074021143	0.0241912197	0.1095927861
